id,id_num,id_hex,name,title,url,primer,type,primary,secondary/0,equipment/0,equipment/1,images/0,images/1,img/0,img/1,steps/0,steps/1,steps/2,steps/3,steps/4,steps/5,tips/0,tips/1,secondary/1,tips/2,secondary/2,steps/6,steps/7,images/2,img/2,secondary/3,images/3,img/3,secondary/4,steps/8,secondary/5
19,0042,f45,bench-press,Bench Press,http://db.everkinetic.com/exercise/bench-press,This is an exercise for the chest.,compound,chest,triceps,bench,barbell,"http://img.everkinetic.com/?action=image&id=19&number=0&key=69cadbdd2&version=cf619212&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=19&number=1&key=69cadbdd2&version=5c40b61d&size=960,960&download=large",_images/web/bench-press-1.png,_images/web/bench-press-2.png,"Lie on a flat bench with your feet flat on the floor, keep your back flat on the bench.",Grasp the bar a little wider than shoulder width apart.,"Raise the barbell above your body and move it over the middle of your chest, this is your starting position.",Lower the bar down so it just touches your chest.,Raise the bar till your arms are fully extended and your elbows are locked.,Return to starting position.,,,,,,,,,,,,,,,
27,0020,f20,tate-press,Tate Press,http://db.everkinetic.com/exercise/tate-press,This is an advanced triceps exercise which moves the muscle differently than other exercises.,isolation,triceps,,dumbbell,,"http://img.everkinetic.com/?action=image&id=27&number=0&key=69cadbdd2&version=d1a482c2&size=480,480&download=medium","http://img.everkinetic.com/?action=image&id=27&number=1&key=69cadbdd2&version=b401258e&size=480,480&download=medium",_images/web/tate-press-1.png,_images/web/tate-press-2.png,Lay flat on a bench with your head at one end and your feet firmly planted on the floor.,Hold a dumbbell in each hand so your palms are faced towards your feet.,"Drawing your abs in and keeping your back on the bench, raise the weights to the center of your chest.","Without moving elbows, slowly raise your arms up and out contracting your triceps.",,,,,,,,,,,,,,,,,
33,0001,f1,static-neck-flexion-extension,Static Neck Flexion and Extension,http://db.everkinetic.com/exercise/static-neck-flexion-extension,An exercise to either build or warm-up front and back neck strength.,isometric,"neck extensors, neck flexors",,body,,"http://img.everkinetic.com/?action=image&id=33&number=0&key=69cadbdd2&version=61e6bb3a&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=33&number=1&key=69cadbdd2&version=35ba3f21&size=960,960&download=large",_images/web/static-neck-flexion-extension-1.png,_images/web/static-neck-flexion-extension-2.png,An exercise to either build or warm-up front and back neck muscles.,Stand or sit with your head in neutral position.,Place both of your hands on your forehead.,Press your head against your hands and contract your neck muscles.,Keep your head from moving forward. Hold for at least 30 seconds.,"Repeat with hands on the back of your head, pressing against them.",,,,,,,,,,,,,,,
36,0002,f2,static-neck-side-flexion,Static Neck Side Flexion,http://db.everkinetic.com/exercise/static-neck-side-flexion,An exercise either build or warm up neck side flexors.,isometric,neck side flexors,,body,,"http://img.everkinetic.com/?action=image&id=36&number=0&key=69cadbdd2&version=47d24699&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=36&number=1&key=69cadbdd2&version=09445cfd&size=960,960&download=large",_images/web/static-neck-side-flexion-1.png,_images/web/static-neck-side-flexion-2.png,Stand or sit with your head in neutral position.,"Place your left hand against the left side of your head, above your ear.","Push your head against your hand, without moving your head.","Repeat with your right hand, right side of your head.",,,Make sure you maintain your chin at a 90 degree angle to your neck,,,,,,,,,,,,,,
39,0003,f3,seated-shoulder-press-machine,Seated Shoulder Press Machine,http://db.everkinetic.com/exercise/seated-shoulder-press-machine,This is an exercise for the shoulder strengthening.,isolation,shoulders,triceps,machine,,"http://img.everkinetic.com/?action=image&id=39&number=0&key=69cadbdd2&version=62ec0e54&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=39&number=1&key=69cadbdd2&version=4cf9f256&size=960,960&download=large",_images/web/seated-shoulder-press-machine-1.png,_images/web/seated-shoulder-press-machine-2.png,Sit upright with your back supported by the chair and draw your abs in.,"Place your hands on the bars and with smooth even motions press upward extending your arms, but not locking them.",At the top pause then with controlled motion lower the bars to your starting position.,,,,Ensure that the seat and bar have been adjusted for optimal posture.,,,,,,,,,,,,,,
42,0004,f4,seated-military-press,Seated Military Press,http://db.everkinetic.com/exercise/seated-military-press,An exercise for the shoulder and triceps strengthening.,isolation,shoulders,triceps,barbell,bench,"http://img.everkinetic.com/?action=image&id=42&number=0&key=69cadbdd2&version=cb370555&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=42&number=1&key=69cadbdd2&version=12732321&size=960,960&download=large",_images/web/seated-military-press-1.png,_images/web/seated-military-press-2.png,"Sit on the bench with your toes pointing straight out, back straight and abs drawn in.",Grip the bar with your palms facing outwards and your hands shoulder width apart,"With bar in front of your head, press upwards extending your arms but not locking them.",Pause at the top and then in a controlled movement lower the bar to the starting position.,,,"Ensure your hips, knees and ankles are at 90 degree positions to ensure optimal posture.",This exercise can also be performed with the bar in the starting position behind your head.,,,,,,,,,,,,,
46,0005,f5,shoulder-shrugs,Shoulder Shrugs,http://db.everkinetic.com/exercise/shoulder-shrugs,An exercise for trapezius strengthening.,isolation,trapezius,,dumbbell,,"http://img.everkinetic.com/?action=image&id=46&number=0&key=69cadbdd2&version=9929c909&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=46&number=1&key=69cadbdd2&version=2d2d7b9a&size=960,960&download=large",_images/web/shoulder-shrugs-1.png,_images/web/shoulder-shrugs-2.png,Stand with your feet shoulder width apart and a slight bend in your knees.,Hold a dumbbell in each hand and with your arms at your sides.,Lower your shoulders as much as possible.,With your arms straight raise both shoulders up towards your ears.,Hold the upright positions for a moment and then lower in a controlled motion.,,Do not do this exercise if you are experiencing any shoulder or neck pain.,,,,,,,,,,,,,,
50,0006,f6,arnold-press,Arnold Press,http://db.everkinetic.com/exercise/arnold-press,An exercise for shoulder and triceps strengthening.,isolation,shoulders,triceps,dumbbells,,"http://img.everkinetic.com/?action=image&id=50&number=0&key=69cadbdd2&version=ac246b9e&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=50&number=1&key=69cadbdd2&version=68a62bda&size=960,960&download=large",_images/web/arnold-press-1.png,_images/web/arnold-press-2.png,"Sit on a flat bench, feet point forward with your abs drawn in.",Grasp a dumbbell in each hand with your palm facing towards your body,Bend your elbows to 90 degrees and raise both your arms to the starting point in line with your shoulders.,With a steady controlled motion raise your arms up while straightening your elbows while rotating your forearms so that your palms now face away from your body.,Bring the dumbbells closer together but do not fully extend your elbows.,With a controlled motion lower the dumbbells to the starting position at your shoulders.,Start with a lower dumbbell weight in order to perfect the technique.,Do not perform this exercise if you have shoulder pain.,,,,,,,,,,,,,
53,0007,f7,front-barbell-raises,Front Barbell Raises,http://db.everkinetic.com/exercise/front-barbell-raises,"An exercise for shoulder, chest and forearm strengthening.",isolation,shoulders,chest,barbell,,"http://img.everkinetic.com/?action=image&id=53&number=0&key=69cadbdd2&version=d168a0f4&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=53&number=1&key=69cadbdd2&version=1b7f9eee&size=960,960&download=large",_images/web/front-barbell-raises-1.png,_images/web/front-barbell-raises-2.png,Grasp a barbell with an overhand grip(palms of hands face downwards) .,"Stand up-right with your feet shoulder width apart, knees slightly bent and your abs drawn in.","With your arms straight, raise the barbell in a controlled motion to shoulder level.",Hold for a moment and then lower the barbell in at the same motion.,,,"Maintain a good upright posture when performing this exercise, do not sway or arch your back.",Do not perform this exercise if you have shoulder pain.,forerm,,,,,,,,,,,,
56,0008,f8,front-cable-raises,Front Cable Raises,http://db.everkinetic.com/exercise/front-cable-raises,"An exercise for shoulders, chest and forearm strengthening.",isolation,shoulders,chest,cable machine,,"http://img.everkinetic.com/?action=image&id=56&number=0&key=69cadbdd2&version=634b9077&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=56&number=1&key=69cadbdd2&version=5cfd5a2f&size=960,960&download=large",_images/web/front-cable-raises-1.png,_images/web/front-cable-raises-2.png,Place the pulley on the setting just above the floor.,"Stand with your feet shoulder width apart, your abs drawn in and your knees slightly bent.","Starting at waist height, take the pulley in your left hand, palm facing the floor with otherwise known as an overhand grip, and raise your straight arm up towards your left shoulder.",At shoulder height pause for a moment.,With a controlled movement resist the weight and slowly lower your arm back to starting position at your waist.,Repeat the exercise with your right arm.,Maintain a good posture at all times during this exercise ensuring not swaying or arching at your back.,Do not perform this exercise if you have shoulder pain.,forearm,,,,,,,,,,,,
59,0009,f9,cable-shoulder-shrugs,Cable Shoulder Shrugs,http://db.everkinetic.com/exercise/cable-shoulder-shrugs,An exercise for trapezius strengthening.,isolation,trapezius,shoulders,cable machine,,"http://img.everkinetic.com/?action=image&id=59&number=0&key=69cadbdd2&version=c1e8fc64&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=59&number=1&key=69cadbdd2&version=cd0fc21d&size=960,960&download=large",_images/web/cable-shoulder-shrugs-1.png,_images/web/cable-shoulder-shrugs-2.png,Attach a pulley to the lowest setting on cable machine.,"Stand with your feet shoulder width apart, your abs drawn and your back straight.",Start with the pulley at waist height.,Grasp the pulley and shrug your shoulders up while keeping your arms extended.,Hold this position for a moment then with a controlled motion return to the starting position of the pulley to waist height.,,Bend your knees slightly when standing.,,,,,,,,,,,,,,
62,0010,f10,front-raises,Front Raises,http://db.everkinetic.com/exercise/front-raises,"This is an exercise for shoulder, chest and forearm strengthening.",isolation,shoulders,forearm,dumbbell,,"http://img.everkinetic.com/?action=image&id=62&number=0&key=69cadbdd2&version=ac5562cd&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=62&number=1&key=69cadbdd2&version=7c5a3f6d&size=960,960&download=large",_images/web/front-raises-1.png,_images/web/front-raises-2.png,"Stand with your feet shoulder width apart, abs drawn in and knees slightly bent.","Grasp a dumbbell in each hand, with your palm facing down.",Start with the dumbbell at waist height.,"Raise your left arm, keeping your elbow slightly bent and your arm straight, to in line with your shoulder.",Pause for a moment and with a controlled motion lower your arm to back to the starting position at your waist.,Repeat with your right arm.,"Do not perform this exercise if you have any shoulder, elbow or wrist pain.",,chest,,,,,,,,,,,,
65,0011,f11,barbell-shoulder-press,Seated Barbell Shoulder Press,http://db.everkinetic.com/exercise/barbell-shoulder-press,"This is an exercise for shoulder, chest and triceps strengthening.",isolation,shoulders,triceps,barbell,,"http://img.everkinetic.com/?action=image&id=65&number=0&key=69cadbdd2&version=3f7ad06f&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=65&number=1&key=69cadbdd2&version=660f4bbe&size=960,960&download=large",_images/web/barbell-shoulder-press-1.png,_images/web/barbell-shoulder-press-2.png,"Sitting on a bench with a barbell rack, grasp the barbell with a grip 3 to 4 inches wider than your shoulders.",Lift the bar off the rack and lower it to just at the height of your shoulders.,"While maintaining  good posture, straighten your arms and raise the bar up above your head.",Pause for a moment and then in a controlled movement lower the bar to the starting position.,,,"Do not perform this exercise if you have shoulder, elbow or wrist pain.",,chest,,,,,,,,,,,,
69,0012,f12,dumbbell-shoulder-press,Dumbbell Shoulder Press,http://db.everkinetic.com/exercise/dumbbell-shoulder-press,"An exercise for shoulder, chest and triceps strengthening.",isolation,shoulders,triceps,dumbbell,,"http://img.everkinetic.com/?action=image&id=69&number=0&key=69cadbdd2&version=abe3e5c1&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=69&number=1&key=69cadbdd2&version=68dbb67e&size=960,960&download=large",_images/web/dumbbell-shoulder-press-1.png,_images/web/dumbbell-shoulder-press-2.png,"Sitting on a bench, with your abs drawn in grasp a dumbbell in each hand, with your palms facing forward.",Begin with your arms at the height of your shoulders.,Extend your arms and raise the dumbbells up above your head.,"At the top of the movement, bring your arms closer together.",Pause for a moment and then in a controlled movement lower the dumbbells to the starting position.,Repeat,,,chest,,,,,,,,,,,,
72,0013,f13,smith-machine-upright-row,Smith Machine Upright Row,http://db.everkinetic.com/exercise/smith-machine-upright-row,This is an exercise for shoulder and biceps strengthening.,isolation,shoulders,biceps,smith machine,,"http://img.everkinetic.com/?action=image&id=72&number=0&key=69cadbdd2&version=35bd08bc&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=72&number=1&key=69cadbdd2&version=afceac40&size=960,960&download=large",_images/web/smith-machine-upright-row-1.png,_images/web/smith-machine-upright-row-2.png,Stand with your feet shoulder width apart and your abs drawn in.,Place the bar on the Smith Machine in the position where your arms are fully extended in front of you.,Place your hands shoulder width apart and raise the bar up towards your chin with a controlled motion.,Pause at the top for a moment and rotate your shoulder blades together.,Lower the bar to the starting position.,,Ensure you do not arch your back when pulling the bar up towards your chin.,,upper back,,,,,,,,,,,,
75,0014,f14,upright-barbell-rows,Upright Barbell Rows,http://db.everkinetic.com/exercise/upright-barbell-rows,"This is an exercise for shoulder, biceps and upper back strengthening.",isolation,shoulders,biceps,barbell,,"http://img.everkinetic.com/?action=image&id=75&number=0&key=69cadbdd2&version=0a33ff55&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=75&number=1&key=69cadbdd2&version=d43de315&size=960,960&download=large",_images/web/upright-barbell-rows-1.png,_images/web/upright-barbell-rows-2.png,"Stand with your feet shoulder width apart, your abs drawn in and back straight.",Place the bar on rack in the position where your arms are fully extended in front of you with your elbows slightly bent.,Place your hands shoulder width apart and raise the bar up towards your chin with a controlled motion.,Pause at the top for a moment and rotate your shoulder blades together.,Lower the bar to the starting position.,Repeat,Do not arch your back when raising the barbell towards your chin.,,upper back,,,,,,,,,,,,
79,0015,f15,upright-cable-row,Upright Cable Row,http://db.everkinetic.com/exercise/upright-cable-row,"This is an exercise for shoulder, biceps and upper back strengthening.",isolation,shoulders,upper back,cable machine,,"http://img.everkinetic.com/?action=image&id=79&number=0&key=69cadbdd2&version=ea3d6fe7&size=960,960&download=large","http://img.everkinetic.com/?action=image&id=79&number=1&key=69cadbdd2&version=dfd8128b&size=960,960&download=large",_images/web/upright-cable-row-1.png,_images/web/upright-cable-row-2.png,Attach a straight bar to the pulley on the floor.,"Stand with your feet shoulder width apart, your abs drawn in and your back straight.","Grasp the bar with an overhand grasp (your palms facing downwards) and pull it up towards your waist, this is the starting position.",Raise the bar up to in line with your shoulders.,Pause at the top and rotate your shoulder blades together.,Lower the bar in a controlled motion to the starting position.,Do not arch your back when raising the bar to your shoulders.,,biceps,,,,,,,,,,,,
